Date,Weight,Fat mass,Comments
1/28/16 6:48,180.4,41.1,
1/27/16 6:38,179.5,40.6,
1/26/16 7:01,178.1,40.9,
1/24/16 7:47,177.5,,
1/23/16 9:18,178,,
1/22/16 6:24,178.8,42.7,
1/21/16 6:14,179.1,41.9,
1/20/16 7:11,179.6,42.6,
1/19/16 6:36,178.6,42.7,
1/18/16 7:51,178.7,42.3,
1/16/16 8:33,179.6,44.4,
1/15/16 7:08,179.5,43.6,
1/14/16 6:20,182,41.9,
1/10/16 10:05,179,,
1/9/16 8:05,178.2,43.5,
1/8/16 6:25,178.7,43.3,
1/7/16 6:45,179.5,41.2,
1/6/16 6:31,180.3,42.8,
1/5/16 7:00,179.5,42.6,
1/4/16 6:43,180.6,41.9,
1/2/16 10:43,179.8,41.2,
12/26/15 8:48,180,,
12/23/15 7:07,179.2,41.7,
12/22/15 6:12,179,,
12/21/15 6:16,180.7,,
12/18/15 7:03,181.9,42.3,
12/17/15 7:53,180.7,40.7,
12/16/15 6:13,180.2,42.6,
12/15/15 6:50,181.8,41.2,
12/14/15 7:54,180.8,42.3,
12/12/15 9:00,180.3,44.2,
12/11/15 6:39,181.1,42.4,
12/10/15 6:39,181,42.1,
12/9/15 6:27,179.9,43.7,
12/8/15 6:48,179.7,42.6,
12/7/15 5:56,180.3,42.7,
12/5/15 10:08,180,42.5,
12/4/15 6:44,180.7,42.7,
12/3/15 7:54,181.4,41.8,
12/2/15 6:49,180.2,42.3,
12/1/15 6:45,181.1,41.9,
11/30/15 6:31,180.6,41,
11/27/15 8:48,179.5,42.3,
11/26/15 9:46,177.7,42.9,
11/25/15 7:07,178.7,43.9,
11/24/15 6:45,180.3,41.8,
11/23/15 6:20,181.3,41.8,
11/22/15 8:06,178.8,40.3,
11/20/15 6:41,178.9,42.1,
11/19/15 6:28,178.6,40.3,
11/18/15 6:43,177.8,41.7,
11/17/15 6:38,179.5,42.1,
11/16/15 6:24,180.4,42.1,
11/15/15 10:27,180.6,42.7,
11/13/15 7:03,180,43.2,
11/12/15 7:31,179.2,41.4,
11/11/15 6:40,178.7,41.4,
11/10/15 6:07,179.7,41.9,
11/9/15 6:08,180.4,41,
11/7/15 8:32,178.5,42,
11/6/15 7:27,178,41.1,
11/5/15 7:40,177.8,41.7,
11/4/15 6:39,179,41.5,
11/3/15 6:32,179,40.7,
10/31/15 8:12,177.9,41.7,
10/30/15 6:17,179.2,41.7,
10/29/15 6:22,178.4,40.9,
10/28/15 6:12,177.5,41.1,
10/27/15 5:42,178.1,41.8,
10/26/15 6:03,179.5,41.5,
10/24/15 10:13,179,41,
10/23/15 6:11,178.4,41.4,
10/22/15 6:03,179.1,41.6,
10/21/15 7:01,177.9,40.4,
10/20/15 7:15,178.1,40.8,
10/19/15 6:30,178.5,41.6,
10/18/15 8:52,178.8,40.6,
10/17/15 8:24,178.5,40.7,
10/16/15 6:12,178,41.8,
10/15/15 7:12,177.8,41.2,
10/14/15 6:53,178.9,40.1,
10/13/15 6:35,178,39.2,
10/12/15 5:49,176.8,39.9,
10/11/15 8:39,176.7,,
10/10/15 8:52,179.1,42.1,
10/9/15 6:40,177.4,40.6,
10/8/15 6:09,177.1,41.5,
10/7/15 6:05,176.1,39.8,
10/6/15 6:08,176.7,41.2,
10/5/15 6:07,177.1,40.2,
10/4/15 7:31,176.7,39.7,
10/3/15 9:00,177.9,41.5,
10/2/15 6:23,177.8,41.6,
10/1/15 6:10,177.8,39.5,
9/30/15 6:11,177.7,39.7,
9/29/15 6:08,176.8,40,
9/28/15 5:59,177.6,41.2,
9/27/15 8:10,177.5,40.8,
9/26/15 8:28,175.9,42,
9/25/15 6:01,177.9,40.5,
9/24/15 7:01,176.9,40.2,
9/23/15 7:03,176.9,40.9,
9/22/15 6:04,176.6,39,
9/21/15 6:02,177.2,39.9,
9/20/15 7:40,177.9,40.6,
9/19/15 9:37,178.1,41.4,
9/18/15 6:03,178,40.2,
9/17/15 6:01,178.1,40.5,
9/16/15 6:02,176.7,41.7,
9/15/15 6:04,179.1,40.9,
9/14/15 7:37,179.7,41,
9/13/15 5:29,178.6,40.3,
9/12/15 8:10,177.6,41,
9/11/15 6:03,177.7,39.5,
9/10/15 5:52,177.4,40,
9/9/15 6:02,177.4,40.1,
9/8/15 6:05,178.1,40.4,
9/7/15 8:02,179.3,40.2,
9/6/15 7:28,179.9,40.7,
9/5/15 9:14,179.2,41.1,
9/4/15 5:55,179.6,41.2,
9/3/15 5:52,178.2,41.2,
9/2/15 6:52,177.9,42.6,
9/1/15 6:11,177.8,42.2,
8/31/15 6:10,179.2,41.6,
8/30/15 8:21,180.1,,
8/29/15 7:17,180.2,41.6,
8/28/15 5:49,177.9,,
8/27/15 6:54,180.7,41.8,
8/26/15 6:39,179.2,41.5,
8/25/15 5:57,179.1,42.5,
8/24/15 5:52,179.2,43.1,
8/23/15 11:39,180.6,43.3,
8/4/15 6:14,180.8,42.7,
8/3/15 6:07,180.9,41.3,
8/2/15 10:35,179.8,40.9,
8/1/15 8:05,181.8,41.4,
7/28/15 6:36,180.3,41.6,
7/27/15 8:23,179,39.4,
7/23/15 8:09,179.1,42.2,
7/22/15 6:37,181.2,,
7/21/15 6:59,179.1,40.4,
7/20/15 6:07,180.3,41.6,
7/17/15 8:08,179.8,42.3,
7/16/15 6:14,179.8,40.9,
7/15/15 6:59,179.1,41.3,
7/12/15 9:48,179.7,37.9,
7/11/15 8:29,179.6,41.3,
7/10/15 8:24,178.6,38.8,
7/9/15 7:12,179.2,40.9,
7/8/15 7:37,180.1,39.2,
7/7/15 7:23,178.2,40.5,
7/6/15 6:16,178.5,40.2,
7/4/15 7:58,179.5,38.5,
7/3/15 8:35,179.5,40.3,
7/2/15 7:43,178.6,38.8,
7/2/15 6:45,179.7,41.4,
7/1/15 7:20,178,42.1,
6/30/15 6:23,178.2,41.5,
6/29/15 6:38,181.4,42.1,
6/27/15 7:58,179.7,40.9,
6/26/15 7:49,179,40.5,
6/25/15 6:40,180.1,41.3,
6/24/15 6:23,179.9,42.5,
6/22/15 6:37,180.6,38.2,
6/20/15 7:13,179.3,41,
6/19/15 6:04,179.9,40.1,
6/18/15 5:59,178.7,42.2,
6/17/15 6:25,179.2,43.2,
6/16/15 5:58,179.8,41.3,
6/15/15 6:10,178.5,40.1,
6/14/15 9:09,179.3,39.9,
