Date,Weight,"Fat mass",Comments
"2016-03-21 07:29:54",179.7,42.4,
"2016-03-20 08:49:45",179.5,43,
"2016-03-19 10:51:09",179.2,45.1,
"2016-03-18 06:52:53",180.6,42.8,
"2016-03-17 08:52:34",179.6,41.7,
"2016-03-16 06:28:47",179.1,41,
"2016-03-15 06:34:32",179.5,42.2,
"2016-03-14 06:12:06",180.2,43.2,
"2016-03-11 07:15:10",179.2,39.7,
"2016-03-10 06:20:04",178.9,42.1,
"2016-03-09 06:09:17",179.6,41.1,
"2016-03-08 06:24:15",179.2,42.5,
"2016-03-07 06:32:55",179.7,41.3,
"2016-03-06 09:20:45",179.9,,
"2016-03-04 05:57:18",181.3,42.8,
"2016-02-29 04:13:08",179.3,41.8,
"2016-02-28 09:21:40",180.7,41.6,
"2016-02-27 08:41:29",178.2,42.5,
"2016-02-26 07:09:13",177.7,41.3,
"2016-02-25 06:14:27",178.5,41.1,
"2016-02-24 06:22:28",177.7,40.6,
"2016-02-23 07:19:45",177.7,43.6,
"2016-02-19 07:05:34",180.3,43.7,
"2016-02-18 06:27:52",180.9,41.6,
"2016-02-17 06:28:32",181.8,43.3,
"2016-02-16 06:59:40",181,41.2,
"2016-02-12 06:43:03",181.1,43.9,
"2016-02-11 06:21:03",179.1,43.2,
"2016-02-10 06:30:27",181,43.7,
"2016-02-09 06:13:18",181,42.8,
"2016-02-05 06:16:58",179.2,41.6,
"2016-02-04 06:16:32",179.7,42.7,
"2016-02-03 06:14:07",179,42.1,
"2016-02-02 07:33:43",179,41.4,
"2016-02-01 06:33:30",178.9,40.6,
"2016-01-29 06:27:06",179.8,41.5,
"2016-01-28 06:48:13",180.4,41.1,
"2016-01-27 06:38:21",179.5,40.6,
"2016-01-26 07:01:00",178.1,40.9,
"2016-01-24 07:47:27",177.5,,
"2016-01-23 09:18:19",178,,
"2016-01-22 06:24:01",178.8,42.7,
"2016-01-21 06:14:37",179.1,41.9,
"2016-01-20 07:11:29",179.6,42.6,
"2016-01-19 06:36:57",178.6,42.7,
"2016-01-18 07:51:32",178.7,42.3,
"2016-01-16 08:33:22",179.6,44.4,
"2016-01-15 07:08:53",179.5,43.6,
