"","Time","Name","Lon","Lat","Description","newtime"
"50","Sat, 06 Jun 15 18:26:29 +0000","Green Village Deli",-74.4532353214291,40.7391720926708,"@",2015-06-06
"51","Sat, 06 Jun 15 17:34:05 +0000","Starbucks",-74.4308110307988,40.746464340969,"@",2015-06-06
"52","Sat, 06 Jun 15 15:57:52 +0000","The Gravity Vault",-74.3809602229304,40.7315249463711,"@",2015-06-06
"53","Sat, 30 May 15 22:04:11 +0000","Montammy Golf Club",-73.9389126401628,40.9242857458836,"@",2015-05-30
"54","Wed, 27 May 15 16:57:07 +0000","Red Oak Grille",-74.6166621395409,40.6570211905643,"@",2015-05-27
"55","Sun, 24 May 15 18:34:17 +0000","Great Wolf Lodge",-75.3218385673668,41.0596242721162,"@",2015-05-24
"56","Mon, 18 May 15 19:28:55 +0000","Jungle Juice",-74.4742029204496,40.7966721128663,"@",2015-05-18
"57","Fri, 15 May 15 16:36:23 +0000","M&amp;M Perrotti's Butcher Shop and Prepared Foods",-74.6358716208808,40.6841268640832,"@",2015-05-15
"58","Sun, 10 May 15 18:09:45 +0000","Tree Top Adventure",-74.2786499579321,40.7700881487903,"@",2015-05-10
"59","Tue, 05 May 15 15:05:08 +0000","AT&amp;T",-74.63503671945,40.6702810197802,"@",2015-05-05
"60","Sat, 25 Apr 15 13:21:06 +0000","Madrona Tree",-71.1504884205092,42.4141730853048,"@",2015-04-25
"61","Thu, 02 Apr 15 20:08:41 +0000","University of South Florida Health Sciences",-82.4244816356649,28.0632643632104,"@",2015-04-02
"62","Wed, 18 Mar 15 23:24:22 +0000","Jrg's Cafe Vienna",-96.6995788141098,33.0196195722013,"@",2015-03-18
"63","Wed, 18 Mar 15 00:48:36 +0000","Stampede 66 By Stephan Pyles",-96.804269915452,32.7887278045458,"@",2015-03-18
"64","Fri, 13 Mar 15 17:39:10 +0000","Dolce Basking Ridge",-74.5423088618631,40.72362210364,"@",2015-03-13
"65","Mon, 09 Mar 15 21:00:44 +0000","Church Publick",-74.0074931765357,40.7154867967454,"@",2015-03-09
"66","Sun, 22 Feb 15 14:34:39 +0000","Camelback Mountain Resort",-75.3554255074124,41.0523966002181,"@",2015-02-22
"67","Thu, 19 Feb 15 23:44:41 +0000","JBJ Soul Kitchen",-74.0753951859315,40.3486562878912,"@",2015-02-19
"68","Wed, 18 Feb 15 23:05:28 +0000","HOPS",-74.4828971874662,40.7970504958717,"@",2015-02-18
"69","Wed, 18 Feb 15 00:05:16 +0000","Laku Sushi",-74.4740541010775,40.7979793889533,"@",2015-02-18
"70","Mon, 16 Feb 15 23:06:22 +0000","Sushi Lounge",-74.4829086345388,40.7972838233321,"@",2015-02-16
"71","Sat, 14 Feb 15 00:23:59 +0000","Shawnee Mountain Ski Area",-75.0795339785087,41.0385665154206,"@",2015-02-14
"72","Sat, 07 Feb 15 21:55:00 +0000","Barley Creek Brewing Company",-75.3288082216847,41.0524232356756,"@",2015-02-07
