Date,Type,Value
2012-03-17 00:00:00,calories_burned,2646.0
2012-04-26 00:00:00,calories_burned,2451.0
2012-04-06 00:00:00,calories_burned,3293.0
2012-06-25 00:00:00,calories_burned,3220.0
2012-05-03 00:00:00,calories_burned,2258.0
2012-06-12 00:00:00,calories_burned,2835.0
2011-12-08 00:00:00,calories_burned,760.0
2012-03-30 00:00:00,calories_burned,2450.0
2012-05-09 00:00:00,calories_burned,2780.0
2012-03-10 00:00:00,calories_burned,2901.0
2012-06-18 00:00:00,calories_burned,2445.0
2011-12-01 00:00:00,calories_burned,2978.0
2012-01-30 00:00:00,calories_burned,2185.0
2012-02-19 00:00:00,calories_burned,2458.0
2011-12-21 00:00:00,calories_burned,1636.0
2012-06-11 00:00:00,calories_burned,2525.0
2012-01-16 00:00:00,calories_burned,645.0
2011-12-07 00:00:00,calories_burned,2841.0
2011-12-14 00:00:00,calories_burned,2700.0
2012-03-03 00:00:00,calories_burned,2508.0
2012-02-12 00:00:00,calories_burned,2794.0
2012-05-02 00:00:00,calories_burned,2444.0
2011-12-20 00:00:00,calories_burned,2462.0
2012-06-24 00:00:00,calories_burned,2425.0
2012-03-09 00:00:00,calories_burned,2412.0
2012-03-29 00:00:00,calories_burned,2450.0
2011-11-30 00:00:00,calories_burned,2289.0
2012-02-18 00:00:00,calories_burned,2456.0
2012-01-29 00:00:00,calories_burned,2552.0
2012-01-09 00:00:00,calories_burned,2219.0
2012-04-25 00:00:00,calories_burned,2707.0
2012-04-05 00:00:00,calories_burned,2474.0
2012-03-16 00:00:00,calories_burned,2393.0
2012-02-25 00:00:00,calories_burned,2567.0
2012-05-15 00:00:00,calories_burned,2438.0
2012-02-21 00:00:00,steps,7297.0
2012-03-12 00:00:00,steps,19311.0
2012-01-12 00:00:00,steps,6319.0
2012-06-27 00:00:00,steps,11658.0
2012-04-01 00:00:00,steps,8898.0
2012-05-31 00:00:00,steps,13427.0
2012-06-20 00:00:00,steps,8654.0
2012-04-28 00:00:00,steps,9129.0
2011-12-03 00:00:00,steps,10501.0
2012-05-04 00:00:00,steps,10028.0
2012-03-05 00:00:00,steps,9142.0
2012-06-13 00:00:00,steps,8104.0
2012-02-14 00:00:00,steps,6362.0
2012-01-05 00:00:00,steps,391.0
2011-12-16 00:00:00,steps,8762.0
2011-12-02 00:00:00,steps,10022.0
2012-01-11 00:00:00,steps,7029.0
2011-12-09 00:00:00,steps,7993.0
2012-03-18 00:00:00,steps,9510.0
2011-11-19 00:00:00,steps,10558.0
2012-06-26 00:00:00,steps,12261.0
2012-04-27 00:00:00,steps,10987.0
2012-02-27 00:00:00,steps,5597.0
2012-04-07 00:00:00,steps,7907.0
2011-12-15 00:00:00,steps,11294.0
2012-06-19 00:00:00,steps,10692.0
2012-03-04 00:00:00,steps,3582.0
2012-02-13 00:00:00,steps,12793.0
2012-03-11 00:00:00,steps,21437.0
